https://coinmarketcap.com/currencies/bitcoin/historical-data/,,,,,,
Date,Open,High,Low,Close,Volume,Market_Cap
3-Apr-17,"1,102.95","1,151.74","1,102.95","1,143.81","580,444,032","17,924,599,808"
2-Apr-17,"1,080.61","1,107.59","1,075.45","1,102.17","514,187,008","17,559,400,448"
1-Apr-17,"1,071.71","1,091.72","1,061.09","1,080.50","289,633,984","17,412,999,168"
31-Mar-17,"1,026.64","1,074.92","1,026.64","1,071.79","447,287,008","16,679,000,064"
30-Mar-17,"1,042.21","1,049.29","1,020.04","1,026.43","352,968,992","16,929,800,192"
29-Mar-17,"1,046.08","1,055.13","1,015.88","1,039.97","298,457,984","16,990,900,224"
28-Mar-17,"1,044.58","1,064.65","1,027.73","1,047.15","326,332,000","16,964,500,480"
27-Mar-17,972.05,"1,046.40",971.98,"1,045.77","372,535,008","15,784,999,936"
26-Mar-17,974.02,"1,007.96",954.19,966.72,"303,668,000","15,814,800,384"
25-Mar-17,936.54,975.76,903.71,972.78,"435,803,008","15,204,800,512"
24-Mar-17,"1,038.45","1,040.47",934.36,937.52,"491,038,016","16,856,999,936"
23-Mar-17,"1,050.05","1,058.01","1,028.93","1,038.59","248,540,000","17,043,399,680"
22-Mar-17,"1,120.65","1,120.65","1,014.21","1,049.14","380,840,992","18,187,100,160"
21-Mar-17,"1,055.36","1,122.43","1,055.36","1,120.54","337,391,008","17,125,600,256"
20-Mar-17,"1,037.24","1,063.03","1,036.68","1,054.23","286,529,984","16,829,800,448"
19-Mar-17,976.73,"1,069.91",976.73,"1,036.74","406,648,000","15,845,999,616"
18-Mar-17,"1,099.69","1,114.07",957.66,973.82,"621,302,016","17,838,700,544"
17-Mar-17,"1,180.16","1,180.16","1,099.57","1,100.23","706,598,976","19,141,799,936"
16-Mar-17,"1,251.33","1,257.98","1,152.44","1,187.81","638,568,000","20,293,699,584"
15-Mar-17,"1,240.16","1,251.61","1,239.75","1,249.61","297,804,992","20,110,399,488"
14-Mar-17,"1,232.16","1,244.81","1,220.72","1,240.00","245,306,000","19,978,199,040"
13-Mar-17,"1,221.78","1,237.37","1,217.03","1,231.92","380,276,992","19,807,700,992"
12-Mar-17,"1,176.62","1,226.98","1,175.36","1,221.38","227,176,000","19,073,300,480"
11-Mar-17,"1,116.32","1,193.83","1,116.32","1,175.83","283,320,000","18,093,699,072"
10-Mar-17,"1,189.36","1,270.47","1,077.25","1,116.72","563,795,968","19,275,300,864"
9-Mar-17,"1,150.35","1,197.46","1,141.23","1,188.49","212,283,008","18,640,900,096"
8-Mar-17,"1,223.23","1,232.16","1,148.08","1,150.00","332,603,008","19,819,800,576"
7-Mar-17,"1,273.21","1,275.55","1,204.80","1,223.54","291,256,000","20,627,099,648"
6-Mar-17,"1,267.47","1,276.00","1,264.60","1,272.83","153,656,992","20,531,900,416"
5-Mar-17,"1,254.29","1,267.29","1,238.06","1,267.12","134,127,000","20,316,000,256"
